feature,pearson_r,pearson_p,spearman_r,spearman_p
sleep_quality,0.7571,0.0,0.4811,0.0
productivity_score,0.4941,0.0,-0.001,0.852633
occ_Unemployed,0.2412,0.0,0.1855,0.0
exercise_minutes_per_week,0.2359,0.0,0.168,0.0
occ_Employed,-0.1801,0.0,0.0296,0.0
work_screen_hours,-0.1655,0.0,-0.1902,0.0
occ_Retired,0.1216,0.0,0.0878,0.0
stress_level,-0.0853,0.0,-0.0788,0.0
social_hours_per_week,0.0736,0.0,0.0409,0.0
occ_Other,0.0648,0.0,-0.1373,0.0
sleep_hours,0.0404,0.0,0.0337,0.0
gender,0.0203,0.000141,0.0072,0.179902
screen_time_hours,-0.0158,0.003156,-0.0235,1.1e-05
mental_health_status,0.0101,0.059498,-0.0004,0.934375
online_support_usage,-0.0088,0.100373,0.0004,0.947488
support_systems_access,-0.0087,0.10249,0.0003,0.947812
age,0.006,0.26197,-0.0037,0.484379
daily_exercise_mins,-0.0059,0.269748,-0.0,0.9974
mood_level,0.0002,0.974243,-0.0,0.999489
social_media_hours,-0.0001,0.979121,0.0,0.9998
tech_usage_hours,-0.0001,0.980217,-0.0,0.999483
physical_activity_hours,-0.0001,0.989392,0.0,0.999882
gaming_hours,0.0,0.99799,-0.0,0.999706
