feature,coefficient
sleep_quality,1.532002111311859
work_screen_hours,-0.5632224736751973
sleep_stress_interact,0.22588691167022198
exercise_minutes_per_week,0.21943018509393195
productivity_score,0.18367661952801898
sleep_hours,-0.1140909339637293
activity_ratio,-0.10301016185961286
total_screen,-0.09997561082737294
social_hours_per_week,0.09035773051090239
screen_time_hours,-0.08748666841276616
mood_level,-0.07914468650212761
age,-0.06239312533867554
tech_usage_hours,0.04246612827628842
online_support_usage,0.0322981406022297
support_systems_access,0.03211455699095186
physical_activity_hours,0.02908221916851894
support_online,-0.02120640869038622
mental_health_status,-0.02066025116946244
daily_exercise_mins,0.004083723671352016
social_media_hours,0.0009438596621788196
gaming_hours,-0.0009013229767563698
stress_level,0.0007908372968947844
leisure_screen,0.0003286588427125676
gender,1.9535372126004702e-05
